year,ASON_avg,siteID,ASON_max
1986,87.857013046,crooked,94.37121237
1987,74.283847542,crooked,100.50985101
1988,61.657460547,crooked,81.775571787
1989,82.2130039,crooked,108.87758413
1990,75.871059588,crooked,144.2153503
1991,61.358685293,crooked,85.524002853
1992,59.69410069,crooked,81.178093443
1993,87.369947446,crooked,120.85265734
1994,58.583732751,crooked,77.67324676
1995,54.385648691,crooked,95.228310166
1996,50.197884043,crooked,72.246585919
1997,67.851939305,crooked,84.434048647
1998,62.491787224,crooked,76.774075113
1999,74.693978522,crooked,97.809903479
2000,60.289891334,crooked,82.337700352
2001,40.266097828,crooked,38.464441773
2002,87.521919299,crooked,110.74828076
2003,64.85835927,crooked,65.666849149
2004,78.022626646,crooked,147.25256231
2005,66.3486488,crooked,138.05019665
2006,65.033832331,crooked,120.62827743
2007,76.600208453,crooked,107.61474434
2008,56.060758141,crooked,89.237976026
2009,54.412635317,crooked,57.899431824
2010,58.731514171,crooked,71.547564999
1980,82.502046525,deep,82.0182431
1981,90.306184936,deep,104.35452983
1982,81.836008507,deep,152.277503
1983,89.964737527,deep,131.45905463
1984,60.083848518,deep,87.735404272
1985,65.266622102,deep,107.03358624
1986,104.84286537,deep,106.7315758
1987,91.867078708,deep,116.84732389
1988,73.145096454,deep,87.814348642
1989,96.596470642,deep,124.38886808
1990,88.606667355,deep,157.40651513
1991,72.718084094,deep,97.76484814
1992,70.739147695,deep,107.34985219
1993,101.70933134,deep,133.51995633
1994,72.357722232,deep,100.55208291
1995,63.904431654,deep,108.86977277
1996,58.111357358,deep,84.545688843
1997,81.654539128,deep,100.83921394
1998,77.914612486,deep,91.894135445
1999,88.68589681,deep,113.6929086
2000,74.722455517,deep,112.56468215
2001,50.190978489,deep,44.714134745
2002,104.21721818,deep,126.78470312
2003,76.703487985,deep,81.484050048
2004,93.163742802,deep,165.40759968
2005,77.45436487,deep,158.22432923
2006,73.538135274,deep,126.09381793
2007,94.57111787,deep,140.66187428
2008,67.067311431,deep,102.19883158
2009,65.52930247,deep,78.081840676
2010,70.829722756,deep,89.232562182
1980,80.422878408,deshka,101.60229418
1981,112.46142963,deshka,159.30863018
1982,114.0387117,deshka,197.15694805
1983,98.132701461,deshka,141.11963025
1984,63.989547073,deshka,122.80831289
1985,105.74702429,deshka,201.34800968
1986,132.04796648,deshka,137.56157435
1987,88.572620689,deshka,121.77892516
1988,89.696088034,deshka,115.76316155
1989,129.74670198,deshka,153.27705381
1990,118.60175615,deshka,226.08558301
1991,84.535947773,deshka,104.23750466
1992,98.404324507,deshka,122.85116553
