year,MJJA_avg,siteID,MJJA_max
1996,88.532248318,chuitna,167.39717311
1997,99.617195775,chuitna,205.84489377
1998,142.13867211,chuitna,215.83466109
1999,119.90545589,chuitna,207.3266716
2000,88.84997651,chuitna,130.35170466
2001,87.254879296,chuitna,205.33435684
2002,92.550004592,chuitna,189.05697229
2003,109.18025094,chuitna,158.34093664
2004,69.03417323,chuitna,86.572660526
2005,80.618428052,chuitna,148.06983215
2006,139.23665206,chuitna,328.75875831
2007,86.357980639,chuitna,129.31059249
2008,81.72764652,chuitna,123.24437098
2009,77.15387105,chuitna,134.09921569
2010,111.13505934,chuitna,171.24617813
1980,55.74253612,crooked,65.340242398
1981,60.39603616,crooked,99.063446191
1982,32.034006605,crooked,41.445643844
1983,32.40260202,crooked,66.167821289
1984,39.828969943,crooked,82.546444838
1985,45.279567791,crooked,68.332949572
1986,41.296645389,crooked,74.75128305
1987,29.770579636,crooked,35.02698727
1988,39.480043059,crooked,81.775571787
1989,49.7289998,crooked,77.916977415
1990,38.658432177,crooked,59.454242439
1991,39.714615549,crooked,61.831762132
1992,35.166359895,crooked,68.784719795
1993,37.402180423,crooked,88.611361267
1994,29.20400396,crooked,32.156394643
1995,48.362182666,crooked,68.767304366
1996,30.034519183,crooked,54.822549249
1997,38.920661926,crooked,78.657578341
1998,52.645140775,crooked,74.597277161
1999,43.286365145,crooked,79.620993839
2000,31.985200846,crooked,56.961169516
2001,35.860694569,crooked,90.068147696
2002,36.742774332,crooked,77.126634197
2003,41.514333543,crooked,65.666849149
2004,22.401293117,crooked,29.980122913
2005,28.867572797,crooked,49.61834311
2006,50.601431051,crooked,120.62827743
2007,27.839911941,crooked,38.709875897
2008,34.367870076,crooked,59.012703598
2009,30.120765601,crooked,54.412606962
2010,44.040373905,crooked,75.027534874
1980,60.350084827,deep,68.951926235
1981,64.428267335,deep,104.11705899
1982,34.031526505,deep,41.783833728
1983,35.208251324,deep,67.455831093
1984,42.752113262,deep,87.735404272
1985,49.846768603,deep,71.608502512
1986,45.081453691,deep,80.148160687
1987,32.58545208,deep,36.043543096
