"","names.covars","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"mu.coef[1]","maxT_spawn","-0.0912975034460762","0.0418013525053017","-0.17717283763911","-0.117801764075526","-0.0905981157209298","-0.063457885671708","-0.0110858914779476","1.0010722307711","12000"
"mu.coef[2]","avgT_grow","-0.0269456721858107","0.044952203865877","-0.117378660680163","-0.0559829814499857","-0.026044037436263","0.00237592218655049","0.0595048871692308","1.00150939470663","3300"
"mu.coef[3]","maxP_spawn","-0.153651868067176","0.0457186204627967","-0.244979794821036","-0.183665268665153","-0.152884968345259","-0.123135478957943","-0.065665151658528","1.00130261031944","5000"
"mu.coef[4]","RB_spawn","-0.0257671282776576","0.0376429917279565","-0.098104341666612","-0.0511566084115139","-0.0260866888330411","-0.00136503790451404","0.0494954826066879","1.00108211864921","11000"
"mu.coef[5]","RB_emerge","-0.0398135867555367","0.0376778030180814","-0.113303576550324","-0.0650682720328554","-0.03979216505771","-0.0149786973178141","0.034647151279519","1.00142839832589","3800"
"mu.coef[6]","avgP_grow","0.0832530174401431","0.0414990196755724","-0.000562540858905154","0.0561412544807713","0.0833259257024698","0.110828662658619","0.16479477150332","1.00270027990843","1100"
"mu.coef[7]","medianQ","-0.0569446275606898","0.0414458114653981","-0.141128191423173","-0.0840107955465996","-0.0558363325005316","-0.0294130534802346","0.0217554902041204","1.00223328361045","1500"
"mu.coef[8]","breakup","-0.0429357280146575","0.0400597693173347","-0.123048194634934","-0.0693769388474322","-0.0430540573217351","-0.0162171091370647","0.0345476600250125","1.00389893357742","770"
"mu.coef[9]","NPGO","-0.0678212535883526","0.039730633047038","-0.147017225050665","-0.0928280073115227","-0.0670720332479274","-0.0421665422087072","0.0110058070881515","1.00109660511844","10000"
