"","Year","Covar","value","mean","sd","std"
"1",1950,"PDO_Jeff",-1.56,0.0596521739130435,0.996238285137119,-1.6257678489942
"2",1951,"PDO_Jeff",-1.544,0.0596521739130435,0.996238285137119,-1.60970743429352
"3",1952,"PDO_Jeff",-1.012,0.0596521739130435,0.996238285137119,-1.07569864549579
"4",1953,"PDO_Jeff",-0.496,0.0596521739130435,0.996238285137119,-0.55775027139874
"5",1954,"PDO_Jeff",-0.682,0.0596521739130435,0.996238285137119,-0.744452592294187
"6",1955,"PDO_Jeff",-0.472,0.0596521739130435,0.996238285137119,-0.533659649347715
"7",1956,"PDO_Jeff",-2.722,0.0596521739130435,0.996238285137119,-2.79215546663135
"8",1957,"PDO_Jeff",-1.172,0.0596521739130435,0.996238285137119,-1.23630279250262
"9",1958,"PDO_Jeff",0.05,0.0596521739130435,0.996238285137119,-0.00968861973791239
"10",1959,"PDO_Jeff",-0.002,0.0596521739130435,0.996238285137119,-0.0618849675151341
"11",1960,"PDO_Jeff",0.356,0.0596521739130435,0.996238285137119,0.297466811412662
"12",1961,"PDO_Jeff",0.328,0.0596521739130435,0.996238285137119,0.269361085686465
"13",1962,"PDO_Jeff",-1.68,0.0596521739130435,0.996238285137119,-1.74622095924933
"14",1963,"PDO_Jeff",-0.472,0.0596521739130435,0.996238285137119,-0.533659649347715
"15",1964,"PDO_Jeff",-0.846,0.0596521739130435,0.996238285137119,-0.909071842976194
"16",1965,"PDO_Jeff",-0.936,0.0596521739130435,0.996238285137119,-0.999411675667539
"17",1966,"PDO_Jeff",-0.534,0.0596521739130435,0.996238285137119,-0.595893756312864
"18",1967,"PDO_Jeff",-0.61,0.0596521739130435,0.996238285137119,-0.672180726141111
"19",1968,"PDO_Jeff",-0.422,0.0596521739130435,0.996238285137119,-0.483470853408079
"20",1969,"PDO_Jeff",-0.884,0.0596521739130435,0.996238285137119,-0.947215327890318
"21",1970,"PDO_Jeff",0.78,0.0596521739130435,0.996238285137119,0.723067800980777
"22",1971,"PDO_Jeff",-1.418,0.0596521739130435,0.996238285137119,-1.48323166852563
"23",1972,"PDO_Jeff",-1.806,0.0596521739130435,0.996238285137119,-1.87269672501721
"24",1973,"PDO_Jeff",-0.266,0.0596521739130435,0.996238285137119,-0.326881810076413
"25",1974,"PDO_Jeff",-1.268,0.0596521739130435,0.996238285137119,-1.33266528070672
"26",1975,"PDO_Jeff",-0.35,0.0596521739130435,0.996238285137119,-0.411198987255002
"27",1976,"PDO_Jeff",-1.528,0.0596521739130435,0.996238285137119,-1.59364701959283
"28",1977,"PDO_Jeff",1.19,0.0596521739130435,0.996238285137119,1.13461592768579
"29",1978,"PDO_Jeff",0.344,0.0596521739130435,0.996238285137119,0.285421500387149
"30",1979,"PDO_Jeff",-0.422,0.0596521739130435,0.996238285137119,-0.483470853408079
