Population,BroodYear,EscapeIndex,EscapementMethod,WeirRemovals,Spawners1,Spawners2.min,Spawners2.nom,Spawners2.max,Recruits1,Recruits2.min,Recruits2.nom,Recruits2.max,NumAgeClasses,CoreRecruits1,CoreRecruits2.min,CoreRecruits2.nom,CoreRecruits2.max,NumCoreAgeClasses,RecruitsPerSpawner,CoreRecruitsPerSpawner
Alexander,1980,NA,NA,NA,NA,NA,NA,NA,5388,11697,14690,20676,5,5371,11650,14634,20601,3,NA,NA
Alexander,1981,NA,NA,NA,NA,NA,NA,NA,3946,9125,11316,15700,5,3901,9015,11182,15517,3,NA,NA
Alexander,1982,2546,Aerial survey,NA,2546,4243,5658,8487,4380,10693,13126,17992,5,4352,10610,13027,17863,3,2.3199010250972076,2.302403676210675
Alexander,1983,3755,Aerial survey,NA,3755,6258,8344,12517,4279,11511,13888,18643,5,4258,11437,13802,18534,3,1.6644295302013423,1.6541227229146693
Alexander,1984,4620,Aerial survey,NA,4620,7700,10267,15400,3552,10797,12770,16716,5,3533,10719,12682,16608,3,1.2437907860134412,1.2352196357261127
Alexander,1985,6241,Aerial survey,NA,6241,10402,13869,20803,2772,10195,11735,14815,5,2742,10112,11636,14683,3,0.8461316605378902,0.838993438604081
Alexander,1986,5225,Aerial survey,NA,5225,8708,11611,17417,3019,10298,11975,15330,5,2999,10223,11889,15221,3,1.0313495822926535,1.0239428128498838
Alexander,1987,2152,Aerial survey,NA,2152,3587,4782,7173,3086,9960,11675,15104,5,3074,9911,11619,15034,3,2.4414470932664156,2.4297365119196987
Alexander,1988,6273,Aerial survey,NA,6273,10455,13940,20910,2457,8203,9568,12299,5,2441,8155,9511,12223,3,0.6863701578192253,0.6822812051649928
Alexander,1989,3497,Aerial survey,NA,3497,5828,7771,11657,1950,5908,6991,9159,5,1930,5858,6930,9074,3,0.8996268176553854,0.8917771200617681
Alexander,1990,2596,Aerial survey,NA,2596,4327,5769,8653,2018,4795,5916,8158,5,1984,4716,5818,8023,3,1.0254810192407697,1.0084936730802565
Alexander,1991,2727,Aerial survey,NA,2727,4545,6060,9090,3260,6621,8431,12054,5,3242,6575,8376,11979,3,1.3912541254125412,1.382178217821782
Alexander,1992,3710,Aerial survey,NA,3710,6183,8244,12367,3863,7739,9886,14178,5,3838,7682,9814,14079,3,1.1991751576904415,1.190441533236293
Alexander,1993,2763,Aerial survey,NA,2763,4605,6140,9210,3748,7846,9929,14094,5,3728,7795,9867,14010,3,1.617100977198697,1.6070032573289903
Alexander,1994,1514,Aerial survey,NA,1514,2523,3364,5047,3149,7414,9164,12663,5,3110,7332,9060,12516,3,2.7241379310344827,2.6932223543400715
Alexander,1995,2090,Aerial survey,NA,2090,3483,4644,6967,2682,6918,8409,11389,5,2658,6862,8339,11292,3,1.8107235142118863,1.7956503014642549
Alexander,1996,2319,Aerial survey,NA,2319,3865,5153,7730,2170,5873,7078,9489,5,2134,5790,6976,9347,3,1.3735687948767707,1.3537745002910926
Alexander,1997,5598,Aerial survey,NA,5598,9330,12440,18660,2011,5456,6573,8809,5,1985,5387,6490,8695,3,0.5283762057877813,0.5217041800643086
Alexander,1998,2807,Aerial survey,NA,2807,4678,6238,9357,2003,5257,6370,8596,5,1975,5187,6284,8478,3,1.0211606284065406,1.0073741583840974
Alexander,1999,3974,Aerial survey,NA,3974,6623,8831,13247,2090,4910,6071,8392,5,2066,4846,5994,8290,3,0.6874646132940777,0.6787453289548182
Alexander,2e3,2331,Aerial survey,NA,2331,3885,5180,7770,1833,4235,5253,7290,5,1807,4164,5168,7176,3,1.0140926640926642,0.9976833976833976
Alexander,2001,2282,Aerial survey,NA,2282,3803,5071,7607,1161,2991,3636,4926,5,1129,2922,3549,4804,3,0.7170183395779925,0.6998619601656478
Alexander,2002,1936,Aerial survey,NA,1936,3227,4302,6453,549,1460,1766,2376,5,514,1386,1672,2243,3,0.4105067410506741,0.3886564388656439
Alexander,2003,2012,Aerial survey,NA,2012,3353,4471,6707,284,594,752,1068,5,268,543,691,989,3,0.16819503466785954,0.154551554462089
Alexander,2004,2215,Aerial survey,NA,2215,3692,4922,7383,217,369,490,731,5,206,343,458,687,3,0.09955302722470541,0.0930516050386022
Alexander,2005,2140,Aerial survey,NA,2140,3567,4756,7133,233,388,516,775,5,229,381,508,762,3,0.10849453322119428,0.10681244743481917
Alexander,2006,885,Aerial survey,NA,885,1475,1967,2950,254,423,564,845,5,245,408,544,816,3,0.28673106253177427,0.27656329435688864
Alexander,2007,480,Aerial survey,NA,480,800,1067,1600,296,493,657,986,5,288,481,641,961,3,0.6157450796626054,0.6007497656982193
Alexander,2008,150,Aerial survey,NA,150,250,333,500,479,798,1064,1595,5,466,777,1037,1555,3,3.195195195195195,3.114114114114114
Alexander,2009,275,Aerial survey,NA,275,458,611,917,NA,NA,NA,NA,NA,654,1090,1453,2180,3,NA,2.3780687397708675
Anchor,2003,13273,Weir,NA,13273,13273,13273,13273,6822,8316,8316,8316,5,6250,7700,7700,7700,3,0.6265350711971672,0.5801250659233029
Anchor,2004,12016,Weir,NA,12016,12016,12016,12016,2832,3743,3743,3743,5,2784,3619,3619,3619,3,0.31150133155792276,0.30118175765645805
Anchor,2005,11156,Weir,NA,11156,11156,11156,11156,4506,5026,5026,5026,5,4250,4708,4708,4708,3,0.4505198996055934,0.4220150591609896
Anchor,2006,8945,Weir,NA,8945,8945,8945,8945,3535,3987,3987,3987,5,3266,3682,3682,3682,3,0.4457238680827278,0.4116266070430408
Anchor,2007,9622,Weir,NA,9622,9622,9622,9622,4563,4773,4773,4773,5,4252,4441,4441,4441,3,0.4960507171066306,0.4615464560382457
Anchor,2008,5806,Weir,NA,5806,5806,5806,5806,3804,3921,3921,3921,5,3691,3770,3770,3770,3,0.6753358594557355,0.6493282810885291
Anchor,2009,3455,Weir,NA,3455,3455,3455,3455,NA,NA,NA,NA,NA,2660,2820,2820,2820,3,NA,0.8162083936324168
Campbell,1982,68,Foot survey,NA,68,68,68,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campbell,1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campbell,1984,423,Foot survey,NA,423,423,423,423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campbell,1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,453,455,455,455,3,NA,NA
Campbell,1986,733,Foot survey,NA,733,733,733,733,683,683,683,683,5,677,677,677,677,3,0.931787175989086,0.9236016371077762
Campbell,1987,571,Foot survey,NA,571,571,571,571,848,864,864,864,5,841,857,857,857,3,1.5131348511383538,1.500875656742557
