"","names.covars","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"mu.coef[1]","wksGT13","-0.114362856090318","0.0441925879108738","-0.20234133645117","-0.143819324861236","-0.113534987876606","-0.0847884179134444","-0.0288648335777296","1.00092796963112","15000"
"mu.coef[2]","wksGT15","-0.0947291230578491","0.0478455618872536","-0.19231706285326","-0.124870681074405","-0.0936066002103553","-0.0633637013528936","-0.00551233925241654","1.00096388057685","15000"
"mu.coef[3]","maxP_spawn","-0.162983625975617","0.0494431978806305","-0.263069085880997","-0.195663822096187","-0.162326761319908","-0.130160507912501","-0.0674165063923572","1.00135721031583","4400"
"mu.coef[4]","RB_spawn","-0.0450670924889306","0.0418306343543718","-0.124246871597076","-0.073010346489292","-0.0457530410557647","-0.0176791686205511","0.0395940962388121","1.00097655508316","15000"
"mu.coef[5]","RB_emerge","-0.0520777087560774","0.0408869144561431","-0.13248157281491","-0.0791797271265246","-0.0521517158672048","-0.0249648364437162","0.0278369731840804","1.0010018316418","15000"
"mu.coef[6]","avgP_grow","0.0770641489735029","0.0432330721423363","-0.00817373814745366","0.0484337532181711","0.076889003368252","0.10601465365759","0.162461421135999","1.0010992531889","10000"
"mu.coef[7]","medianQ","-0.0749791596997692","0.04432335189804","-0.160831428669748","-0.105000134464607","-0.0754348796490776","-0.0458615077830227","0.0124963477992908","1.00092160627873","15000"
"mu.coef[8]","breakup","-0.0772631869489481","0.0431532493847693","-0.16324325427703","-0.105152759536804","-0.0773051853785212","-0.0487326788835732","0.00786975003533598","1.00117274281097","7300"
"mu.coef[9]","NPGO","-0.129336628713213","0.0464400574809437","-0.22300974491063","-0.158971432719328","-0.128794137636651","-0.0988614251731753","-0.0381986378034706","1.00090983290895","15000"
