Year,Region,Value,Type,Area.Fished,Responses.Used,Anglers,Trips,Days.Fished,KSP,KSA,KI,KS,SS,LL,HA,SH,DV,RT,LT,DV.AC,GR,LS,RS,KO,PS,CS,SK,RF,WF,NP,BB,SM,LC,RCL,PC,BC,RC,OTHER,Population
1980,Knik Arm,Estimates,Freshwater,Little Susitna River,,,,22420,,,,646,6302,0,,,,852,0,,181,,2127,,3918,465,,,,,9,,,,,,,1059,Little Susitna
1980,Knik Arm,Estimates,Freshwater,Lucille Lake,,,,3798,,,,0,0,3633,,,,0,0,,0,,0,,0,0,,,,,0,,,,,,,0,
1980,Knik Arm,Estimates,Freshwater,Nancy Lake Recreation Area; including Nancy Lake,,,,9153,,,,0,0,146,,,,2540,749,,0,,69,,0,0,,,,,34,,,,,,,43,
1980,Knik Arm,Estimates,Freshwater,Others,,,,23248,,,,0,2798,1997,,,,11382,775,,8317,,775,,473,60,,,,,224,,,,,,,34,
1980,Knik Arm,Estimates,Freshwater,Wasilla Creek (Rabbit Slough),,,,5726,,,,0,3555,0,,,,121,0,,0,,0,,310,9,,,,,0,,,,,,,0,
1980,Knik Arm,Estimates,Freshwater,Wasilla Lake,,,,1642,,,,0,0,43,,,,2084,0,,0,,0,,0,0,,,,,0,,,,,,,0,
1980,Susitna River,Estimates,Freshwater,Caswell Creek,,,,4963,,,,215,1124,0,,,,154,0,83,353,,77,,1663,19,,,,,26,,,,,,,26,
1980,Susitna River,Estimates,Freshwater,Clear (Chunilna) Creek,,,,4388,,,,172,661,0,,,,950,0,751,1348,,6,,622,385,,,,,32,,,,,,,32,
1980,Susitna River,Estimates,Freshwater,Little Willow Creek,,,,8190,,,,32,494,0,,,,353,0,122,1156,,77,,6420,270,,,,,0,,,,,,,13,Little Willow
1980,Susitna River,Estimates,Freshwater,Montana Creek,,,,19287,,,,559,2684,0,,,,854,0,167,655,,257,,8230,571,,,,,13,,,,,,,13,Montana
1980,Susitna River,Estimates,Freshwater,Others,,,,12216,,,,45,2234,1663,,,,2658,267,790,4854,,257,,3403,1445,,,,,212,,,,,,,520,
1980,Susitna River,Estimates,Freshwater,Sheep Creek,,,,8041,,,,45,430,0,,,,385,0,83,725,,0,,6362,648,,,,,45,,,,,,,0,
1980,Susitna River,Estimates,Freshwater,Sunshine Creek,,,,5208,,,,13,1534,0,,,,193,0,39,0,,116,,2408,225,,,,,39,,,,,,,0,
1980,Susitna River,Estimates,Freshwater,TOTAL,,,,91304,,,,1370,10368,1663,,,,6715,267,2671,10954,,873,,52746,4552,,,,,367,,,,,,,720,
1980,Susitna River,Estimates,Freshwater,Willow Creek,,,,29011,,,,289,1207,0,,,,1168,0,636,1863,,83,,23638,989,,,,,0,,,,,,,116,Willow
1980,West Cook Inlet,Estimates,Freshwater,Alexander Creek,,,,6812,,,,1438,999,,,,,1945,0,353,1145,,52,,809,121,,,,0,0,,,,,,0,0,Alexander
1980,West Cook Inlet,Estimates,Saltwater,Boat,,,,928,,,,0,69,,,,,0,0,0,0,,17,,17,0,,,,0,0,,,,,,0,103,
1980,West Cook Inlet,Estimates,Freshwater,Chuit River,,,,614,,,,17,258,,,,,301,0,146,0,,0,,69,0,,,,0,0,,,,,,0,0,Chuitna
1980,West Cook Inlet,Estimates,Freshwater,Deshka River (Kroto Creek),,,,19364,,,,3685,2290,,,,,4305,0,0,1817,,0,,689,0,,,,0,224,,,,,,0,69,Deshka
1980,West Cook Inlet,Estimates,Freshwater,Freshwater Total,,,,48125,,,,6182,12769,,,,,13345,448,3100,9247,,1111,,4538,491,,,,232,706,,,,,,0,103,
1980,West Cook Inlet,Estimates,Saltwater/Freshwater,Grand Total,,,,49924,,,,6182,12984,,,,,13345,448,3100,9247,,1137,,4624,491,,,,232,706,,,,,,53934,206,
1980,West Cook Inlet,Estimates,Freshwater,Hewitt Lake,,,,471,,,,0,0,,,,,9,0,0,0,,0,,0,0,,,,0,0,,,,,,0,0,
1980,West Cook Inlet,Estimates,Freshwater,Judd Lake,,,,814,,,,0,0,,,,,86,0,723,232,,267,,0,0,,,,0,0,,,,,,0,0,
1980,West Cook Inlet,Estimates,Freshwater,Lake Creek,,,,8325,,,,775,2351,,,,,2144,0,121,1972,,267,,2101,69,,,,103,0,,,,,,0,0,
1980,West Cook Inlet,Estimates,Freshwater,Lewis River,,,,43,,,,0,0,,,,,9,0,0,0,,0,,0,0,,,,0,0,,,,,,0,0,Lewis
1980,West Cook Inlet,Estimates,Freshwater,Other Lake,,,,2999,,,,0,0,,,,,2092,198,43,560,,181,,0,0,,,,129,34,,,,,,0,34,
1980,West Cook Inlet,Estimates,Freshwater,Other Rivers,,,,4998,,,,129,6010,,,,,1722,181,603,1808,,34,,362,284,,,,0,448,,,,,,0,0,
1980,West Cook Inlet,Estimates,Saltwater,SALTWATER TOTAL,,,,1799,,,,0,215,,,,,0,0,0,0,,26,,86,0,,,,0,0,,,,,,53934,103,
1980,West Cook Inlet,Estimates,Freshwater,Shell Lake,,,,414,,,,0,0,,,,,103,69,0,0,,198,,0,0,,,,0,0,,,,,,0,0,
1980,West Cook Inlet,Estimates,Saltwater,Shoreline,,,,871,,,,0,146,,,,,0,0,0,0,,9,,69,0,,,,0,0,,,,,,53934,0,
1980,West Cook Inlet,Estimates,Freshwater,Talachulitna River,,,,2542,,,,121,491,,,,,379,0,982,1713,,112,,276,17,,,,0,0,,,,,,0,0,
1980,West Cook Inlet,Estimates,Freshwater,Theodore River,,,,700,,,,17,370,,,,,250,0,129,0,,0,,232,0,,,,0,0,,,,,,0,0,Theodore
1980,West Cook Inlet,Estimates,Freshwater,Whiskey Lake,,,,29,,,,0,0,,,,,0,0,0,0,,0,,0,0,,,,0,0,,,,,,0,0,
1981,Anchorage,Estimates,Freshwater,Beach Lake,,,,1001,,,0,0,0,115,,,,1619,,0,0,,0,,0,0,,,,,,0,,,,,,0,
1981,Anchorage,Estimates,Freshwater,Bird Creek,,,,2946,,,0,0,38,0,,,,0,,125,0,,0,,795,0,,,,,,0,,,,,,0,
1981,Anchorage,Estimates,Freshwater,C Street Lake,,,,1059,,,0,0,0,383,,,,0,,0,0,,0,,0,0,,,,,,0,,,,,,0,
1981,Anchorage,Estimates,Freshwater,Campbell Point Lake,,,,2902,,,0,0,0,0,,,,4167,,0,0,,0,,0,0,,,,,,0,,,,,,0,
1981,Anchorage,Estimates,Freshwater,Cheney Lake,,,,1480,,,0,0,0,604,,,,0,,0,0,,0,,0,0,,,,,,0,,,,,,0,
1981,Anchorage,Estimates,Freshwater,Clunie Lake,,,,4034,,,0,0,0,0,,,,4167,,0,0,,0,,0,0,,,,,,0,,,,,,0,
1981,Anchorage,Estimates,Freshwater,Eagle River,,,,2060,,,0,0,0,0,,,,201,,1245,0,,0,,0,0,,,,,,0,,,,,,0,
1981,Anchorage,Estimates,Freshwater,Fish Lake,,,,2177,,,0,0,96,1399,,,,0,,0,0,,0,,0,0,,,,,,0,,,,,,0,
1981,Anchorage,Estimates,Freshwater,Freshwater Total,,,,67618,,,0,0,1474,7167,,,,30914,,5002,115,,383,,1293,29,,,,,,150329,,,,,,0,
1981,Anchorage,Estimates,Freshwater,Green Lake,,,,4890,,,0,0,0,0,,,,1935,,0,0,,0,,0,0,,,,,,0,,,,,,0,
1981,Anchorage,Estimates,Freshwater,Gwen Lake,,,,2336,,,0,0,0,0,,,,3363,,0,0,,0,,0,0,,,,,,0,,,,,,0,
1981,Anchorage,Estimates,Freshwater,Hillberg Lake,,,,4498,,,0,0,0,0,,,,2759,,0,0,,0,,0,0,,,,,,0,,,,,,0,
1981,Anchorage,Estimates,Freshwater,Jewel Lake,,,,5819,,,0,0,0,0,,,,3305,,0,0,,0,,0,0,,,,,,0,,,,,,0,
1981,Anchorage,Estimates,Freshwater,Lower Fire Lake,,,,2118,,,0,0,0,0,,,,1456,,0,0,,0,,0,0,,,,,,0,,,,,,0,
1981,Anchorage,Estimates,Freshwater,Mirror Lake,,,,2206,,,0,0,0,1092,,,,0,,0,48,,0,,0,0,,,,,,0,,,,,,0,
1981,Anchorage,Estimates,Freshwater,Others,,,,5296,,,0,0,383,642,,,,1648,,1581,67,,48,,220,19,,,,,,13460,,,,,,0,
1981,Anchorage,Estimates,Freshwater,Otter Lake,,,,5543,,,0,0,0,0,,,,4474,,0,0,,0,,0,0,,,,,,0,,,,,,0,
1981,Anchorage,Estimates,Freshwater,Sand Lake,,,,2278,,,0,0,0,0,,,,1638,,0,0,,0,,0,0,,,,,,0,,,,,,0,
1981,Anchorage,Estimates,Freshwater,Ship Creek,,,,2293,,,0,0,220,0,,,,182,,441,0,,0,,230,0,,,,,,0,,,,,,0,
1981,Anchorage,Estimates,Freshwater,Sixmile Lake,,,,3468,,,0,0,0,1390,,,,0,,0,0,,0,,0,0,,,,,,0,,,,,,0,
1981,Anchorage,Estimates,Freshwater,Triangle Lake,,,,1785,,,0,0,0,1542,,,,0,,0,0,,0,,0,0,,,,,,0,,,,,,0,
1981,Anchorage,Estimates,Freshwater,Twentymile River,,,,7429,,,0,0,737,0,,,,0,,1610,0,,335,,48,10,,,,,,136869,,,,,,0,
1981,Kenai Peninsula,Estimates,Freshwater,Anchor River,,,,34257,,,54,1015,2949,0,,777,,151,0,15271,0,,0,0,11,0,,,0,0,,0,,,,,,0,Anchor
1981,Kenai Peninsula,Estimates,Freshwater,Canoe Lake System,,,,5235,,,0,0,0,54,,0,,6177,0,1112,0,,0,0,0,0,,,0,0,,0,,,,,,0,
1981,Kenai Peninsula,Estimates,Freshwater,Deep Creek,,,,10127,,,86,518,464,0,,140,,108,0,1382,0,,0,0,11,0,,,0,0,,0,,,,,,32,Deep
1981,Kenai Peninsula,Estimates,Freshwater,Freshwater Total,,,,338522,,,2040,13781,29463,4600,,1327,,42141,3369,70662,1891,,54410,5540,2084,140,,,1199,32,,45986,,,,,,2181,
1981,Kenai Peninsula,Estimates,Freshwater,Hidden Lake,,,,4761,,,0,0,0,0,,0,,1220,1069,302,0,,0,1382,0,0,,,0,0,,0,,,,,,0,
