Group,ReturnYear,Component,Gear,Mesh,n,Age,Prop,GroupType,StockRecruit,Region,HatcheryWild,ReportingGroup_ESSN,ReportingGroup_NSN,ReportingGroup_MS,GearMesh
Deshka,1995,Escapement,Weir,NA,338,Age1.1,0.006993006993006994,Population,TRUE,North,Wild,Cook Inlet other1,Susitna/Matanuska,West/Susitna,Weir
Deshka,1996,Escapement,Weir,NA,383,Age1.1,0.003003003003003003,Population,TRUE,North,Wild,Cook Inlet other1,Susitna/Matanuska,West/Susitna,Weir
Deshka,1997,Escapement,Weir,NA,491,Age1.1,0.002004008016032064,Population,TRUE,North,Wild,Cook Inlet other1,Susitna/Matanuska,West/Susitna,Weir
Deshka,1998,Escapement,Weir,NA,319,Age1.1,0,Population,TRUE,North,Wild,Cook Inlet other1,Susitna/Matanuska,West/Susitna,Weir
Deshka,1998,Sport Harvest,Angling,NA,383,Age1.1,0,Population,TRUE,North,Wild,Cook Inlet other1,Susitna/Matanuska,West/Susitna,Angling
Deshka,1999,Escapement,Weir,NA,448,Age1.1,0,Population,TRUE,North,Wild,Cook Inlet other1,Susitna/Matanuska,West/Susitna,Weir
Deshka,2000,Escapement,Weir,NA,466,Age1.1,0,Population,TRUE,North,Wild,Cook Inlet other1,Susitna/Matanuska,West/Susitna,Weir
Deshka,2001,Escapement,Weir,NA,543,Age1.1,0.015,Population,TRUE,North,Wild,Cook Inlet other1,Susitna/Matanuska,West/Susitna,Weir
Deshka,2002,Escapement,Weir,NA,558,Age1.1,0.016,Population,TRUE,North,Wild,Cook Inlet other1,Susitna/Matanuska,West/Susitna,Weir
Deshka,2003,Escapement,Weir,NA,488,Age1.1,0.010040160642570281,Population,TRUE,North,Wild,Cook Inlet other1,Susitna/Matanuska,West/Susitna,Weir
Deshka,2004,Escapement,Weir,NA,563,Age1.1,0.009,Population,TRUE,North,Wild,Cook Inlet other1,Susitna/Matanuska,West/Susitna,Weir
Deshka,2005,Escapement,Weir,NA,490,Age1.1,0.012000000000000002,Population,TRUE,North,Wild,Cook Inlet other1,Susitna/Matanuska,West/Susitna,Weir
Deshka,2006,Escapement,Weir,NA,488,Age1.1,0,Population,TRUE,North,Wild,Cook Inlet other1,Susitna/Matanuska,West/Susitna,Weir
Deshka,2007,Escapement,Weir,NA,232,Age1.1,0,Population,TRUE,North,Wild,Cook Inlet other1,Susitna/Matanuska,West/Susitna,Weir
