Area.Fished,Region.SWHS,ChinookHarvestTotal,ReportingGroup_ESSN,ReportingGroup_NSN,ReportingGroup_MS,Population,Comments
Kasilof River - Guided Bank Fishing,Kenai Peninsula,388,Kasilof River undetermined,Kenai Peninsula,Cook Inlet other_MS,Kasilof River undetermined,Fish harvested in the Kasilof River mainstem could be from 2 ESSN reporing groups: Kasilof River mainstem or Cook Inlet other (e.g. Crooked Creek or other tribs)
Kenai River - unspecified,Kenai Peninsula,349,Kenai River undetermined,Kenai Peninsula,Kenai,Kenai River undetermined,Fish harvested in the Kenai River mainstem or Skilak Lake could be from 2 ESSN reporing groups: Kenai River mainstem or Kenai River tributaries
Crooked Creek,Kenai Peninsula,332,Cook Inlet other_ESSN,Kenai Peninsula,Cook Inlet other_MS,Kasilof River undetermined,
Other Rivers,Kenai Peninsula,310,Cook Inlet other_ESSN,Kenai Peninsula,Cook Inlet other_MS,,
Resurrection Creek drainage,Kenai Peninsula,219,Cook Inlet other_ESSN,Kenai Peninsula,Cook Inlet other_MS,,
Kasilof River - unspecified,Kenai Peninsula,200,Kasilof River undetermined,Kenai Peninsula,Cook Inlet other_MS,Kasilof River undetermined,Fish harvested in the Kasilof River mainstem could be from 2 ESSN reporing groups: Kasilof River mainstem or Cook Inlet other (e.g. Crooked Creek or other tribs)
Stariski Creek,Kenai Peninsula,187,Cook Inlet other_ESSN,Kenai Peninsula,Cook Inlet other_MS,,
Other lakes,Kenai Peninsula,94,Cook Inlet other_ESSN,Kenai Peninsula,Cook Inlet other_MS,,
Kenai Lake,Kenai Peninsula,79,Kenai River undetermined,Kenai Peninsula,Kenai,Kenai River undetermined,
Kenai River - (Skilak Inlet to Kenai Lake),Kenai Peninsula,77,Kenai River undetermined,Kenai Peninsula,Kenai,Kenai River undetermined,Fish harvested in the Kenai River mainstem or Skilak Lake could be from 2 ESSN reporing groups: Kenai River mainstem or Kenai River tributaries
Skilak Lake,Kenai Peninsula,66,Kenai River undetermined,Kenai Peninsula,Kenai,Kenai River undetermined,Fish harvested in the Kenai River mainstem or Skilak Lake could be from 2 ESSN reporing groups: Kenai River mainstem or Kenai River tributaries
Sixmile Creek drainage,Kenai Peninsula,45,Cook Inlet other_ESSN,Kenai Peninsula,Cook Inlet other_MS,,
Other Lake,Kenai Peninsula,20,Cook Inlet other_ESSN,Kenai Peninsula,Cook Inlet other_MS,,
Quartz Creek,Kenai Peninsula,20,Kenai River tributaries,Kenai Peninsula,Kenai,Kenai River undetermined,
Other Lakes,Kenai Peninsula,19,Cook Inlet other_ESSN,Kenai Peninsula,Cook Inlet other_MS,,
Swanson River Canoe Route Lakes,Kenai Peninsula,8,Cook Inlet other_ESSN,Kenai Peninsula,Cook Inlet other_MS,,
Moose River,Kenai Peninsula,6,Kenai River undetermined,Kenai Peninsula,Kenai,Kenai River undetermined,
Swanson River,Kenai Peninsula,6,Cook Inlet other_ESSN,Kenai Peninsula,Cook Inlet other_MS,,
