Population,BroodYear,EscapeIndex,EscapementMethod,WeirRemovals,Spawners1,Spawners2.min,Spawners2.nom,Spawners2.max,Recruits1,Recruits2.min,Recruits2.nom,Recruits2.max,NumAgeClasses,CoreRecruits1,CoreRecruits2.min,CoreRecruits2.nom,CoreRecruits2.max,NumCoreAgeClasses,RecruitsPerSpawner,CoreRecruitsPerSpawner
Willow,1995,3792,Single aerial survey,NA,3792,6320,8427,12640,2586,4309,5745,8619,5,2554,4256,5675,8513,3,0.6817372730509078,0.6734306396107749
Willow,1996,1776,Single aerial survey,NA,1776,2960,3947,5920,2856,4760,6347,9521,5,2828,4713,6283,9426,3,1.6080567519635165,1.5918419052444894
Willow,1997,4841,Single aerial survey,NA,4841,8068,10758,16137,3118,5198,6930,10395,5,3087,5146,6861,10291,3,0.6441717791411042,0.6377579475738985
Willow,1998,3500,Single aerial survey,NA,3500,5833,7778,11667,3311,5518,7357,11036,5,3273,5455,7274,10910,3,0.9458729750578555,0.935201851375675
Willow,1999,2081,Single aerial survey,NA,2081,3468,4624,6937,3070,5116,6821,10232,5,3033,5056,6740,10111,3,1.4751297577854672,1.457612456747405
Willow,2e3,2601,Single aerial survey,NA,2601,4335,5780,8670,2521,4202,5603,8404,5,2469,4114,5485,8228,3,0.9693771626297578,0.948961937716263
Willow,2001,3188,Single aerial survey,NA,3188,5313,7084,10627,2072,3453,4604,6906,5,2026,3377,4503,6754,3,0.6499153020892151,0.6356578204404292
Willow,2002,2758,Single aerial survey,NA,2758,4597,6129,9193,1587,2645,3527,5291,5,1544,2574,3432,5148,3,0.5754609234785446,0.5599608418991678
Willow,2003,3964,Single aerial survey,NA,3964,6607,8809,13213,1258,2097,2796,4194,5,1214,2024,2698,4047,3,0.31740265637416276,0.3062776705641957
Willow,2004,2985,Single aerial survey,NA,2985,4975,6633,9950,1159,1931,2575,3862,5,1127,1878,2505,3757,3,0.3882104628373285,0.3776571687019448
Willow,2005,2463,Single aerial survey,NA,2463,4105,5473,8210,1116,1860,2481,3721,5,1084,1807,2410,3614,3,0.4533162799196053,0.4403435044765211
Willow,2006,2217,Single aerial survey,NA,2217,3695,4927,7390,1025,1709,2279,3418,5,991,1651,2202,3302,3,0.4625532778567079,0.44692510655571344
Willow,2007,1373,Single aerial survey,NA,1373,2288,3051,4577,1011,1685,2247,3370,5,972,1619,2159,3239,3,0.7364798426745329,0.7076368403802032
Willow,2008,1255,Single aerial survey,NA,1255,2092,2789,4183,1294,2157,2876,4314,5,1252,2087,2783,4175,3,1.0311939763356042,0.9978486912871997
Willow,2009,1133,Single aerial survey,NA,1133,1888,2518,3777,NA,NA,NA,NA,NA,1488,2481,3308,4961,3,NA,1.3137410643367753
Willow,2010,1173,Single aerial survey,NA,1173,1955,2607,3910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Willow,2011,1061,Single aerial survey,NA,1061,1768,2358,3537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Willow,2012,756,Single aerial survey,NA,756,1260,1680,2520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Willow,2013,1752,Single aerial survey,NA,1752,2920,3893,5840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Willow,2014,1335,Single aerial survey,NA,1335,2225,2967,4450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Willow,2015,2046,Single aerial survey,NA,2046,3410,4547,6820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
