Population,siteID,Site
Alexander,alexander,Alexander
Anchor,anchor,Anchor
Campbell,campbell,NA
Chuitna,chuitna,Chuitna
Chulitna,EF_chulitna,EF Chulitna
Crooked,crooked,Crooked
Deep,deep,Deep
Deshka,deshka,Deshka
Kenai.Late,kenai_late,Kenai R at Cooper Landing
Lewis,lewis,NA
LittleSusitna,little_susitna,NA
LittleWillow,little_willow,Little Willow
Montana,montana,Montana
Ninilchik,ninilchik,Ninilchik
Theodore,theodore,Theodore
Willow,willow,Willow
