Year,BreakupDOY
1980,122
1981,126
1982,132
1983,123
1984,124
1985,136
1986,126
1987,117
1988,117
1989,122
1990,123
1991,124
1992,96
1993,124
1994,121
1995,119
1996,124
1997,123
1998,113
1999,126
2000,122
2001,121
2002,134
2003,119
2004,114
2005,119
2006,127
2007,123
2008,129
2009,124
2010,119
2011,128
2012,118
2013,145
2014,122
2015,120
2016,107
