"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"alpha[1]",0.432779089547552,0.277629516834691,-0.0403187321326497,0.240900602740812,0.405179870894056,0.600082255398909,1.06368394213321,1.00113853078843,6000
"alpha[2]",0.00911772369083479,0.346627489394566,-0.478230104199857,-0.215270754475118,-0.0502712420190321,0.165522279531082,0.827543328396216,1.00362431191875,2400
"alpha[3]",1.42720142228623,0.307374520062273,0.832550852818688,1.22885632668857,1.42110854656093,1.61979364631908,2.04299159619162,1.00075161678074,6000
"alpha[4]",1.0050721665656,0.210768262316922,0.599889691382199,0.864960400651377,1.00104659879905,1.14138524378501,1.43167021206899,1.00076937203134,6000
"alpha[5]",0.527109115963197,0.273470699990428,0.00552815794082282,0.348462304825758,0.51975652747408,0.700345758092654,1.07495289951313,1.00112755008765,5300
"alpha[6]",1.27340031751912,0.601763494722732,0.260646154400019,0.861000481937585,1.19658523884522,1.6004171806864,2.71206850058921,1.00207292691887,1500
"alpha[7]",2.0224233524309,0.207724872199082,1.61635423254761,1.88531808872252,2.02213291847627,2.15588249641488,2.43586880989175,1.00203921626518,1600
"alpha[8]",1.4511549051536,0.298787542835933,0.871982944335682,1.2513899253843,1.44297551765707,1.6446594000424,2.05985396081059,1.00078080058623,6000
"alpha[9]",0.789399513985877,0.302625762363077,0.218453862991534,0.586717611759351,0.777404042732808,0.983834622141627,1.41199004574779,1.00125177939308,4000
"alpha[10]",2.12833608647257,0.298406772243877,1.53581222324383,1.93471518969738,2.12791495525361,2.32276158916202,2.73157066984948,1.00081690246982,6000
"alpha[11]",1.69707360283507,0.300829567067156,1.12311625149587,1.50331409111358,1.69081416471675,1.89387930475504,2.31084629235439,1.00090644246323,6000
"alpha[12]",1.56748268633125,0.47225992222865,0.669400270508613,1.24421306147515,1.55484254486868,1.87380134471238,2.54844092556883,1.00158673455015,2400
"alpha[13]",0.420880738510892,0.399261030064413,-0.166200589956737,0.141192031618704,0.369154587623399,0.62313985277428,1.37577769641833,1.00098100379869,6000
"alpha[14]",0.655995340319501,0.296836335786086,0.0999151881568437,0.45259432278743,0.644683648549266,0.855752202558023,1.25043369328202,1.00136758886633,3200
"alpha[15]",0.868314282801329,0.235388992013351,0.411943118584688,0.71019098225434,0.862274059580525,1.02410728542553,1.34064115653671,1.00082089635667,6000
"beta[1]",9.99603553716195e-05,7.52124953962653e-05,4.22847713816478e-06,4.20897151696387e-05,8.43443139233081e-05,0.000141677765509656,0.000283191964501433,1.00118971048679,4500
"beta[2]",5.86816686199109e-05,3.63529366834228e-05,7.52797952182983e-06,3.47202201625501e-05,5.27258734494126e-05,7.50649120548683e-05,0.000145125566626089,1.00145493221915,3800
"beta[3]",0.00181948519510081,0.000378631791908704,0.00108715383103056,0.00157709668943283,0.00181047476807223,0.00205814524739613,0.00259610381510152,1.00077224139414,6000
"beta[4]",0.000514794237504316,0.000107391062088821,0.000302497225943704,0.000443632224583831,0.000513571682485584,0.00058479189885545,0.000727525803517466,1.00089710669629,6000
"beta[5]",0.000234572465536648,7.20601159591761e-05,8.8855180751142e-05,0.000187771589301881,0.000235637862119649,0.000281743786712372,0.000375624721652163,1.00097177642983,6000
"beta[6]",0.0010057580847206,0.000414261513630246,0.00029591295318831,0.000732077203187148,0.00096606564688832,0.00123800764859123,0.0019481971683211,1.00140722129733,3000
"beta[7]",0.00184633747831102,0.000329094005924809,0.00119276716095538,0.00162506861013689,0.00184834386407848,0.00206005998887625,0.0025053874031803,1.00142888143507,2900
"beta[8]",5.01937380633772e-05,9.5146094270849e-06,3.13594810455167e-05,4.39115630752918e-05,4.99363379825095e-05,5.63790360940006e-05,6.92008260283576e-05,1.00097471711823,6000
"beta[9]",2.01765747652693e-05,7.42495634522578e-06,6.31038778044194e-06,1.50915923348444e-05,1.99603811186954e-05,2.50223440149764e-05,3.56529862857438e-05,1.00109277268197,5800
"beta[10]",0.000537165147781852,9.85638057927917e-05,0.000342969694863932,0.00047315945442483,0.000537945890415085,0.000600357390393566,0.00073330640129036,1.00122588235641,6000
"beta[11]",0.00104559448083145,0.000230333193505567,0.000610565897930761,0.000889763702184843,0.00104313395739149,0.00119434899072655,0.00151124140347848,1.00102887280553,6000
"beta[12]",0.000639211061506184,0.000241101336061561,0.000174819423484399,0.000475108217709439,0.000633375364971859,0.000793644475468421,0.00114106922191981,1.00149590877698,2700
"beta[13]",0.000461061511846023,0.000291060864830153,3.93176236484775e-05,0.000251574459217361,0.000421016167947198,0.000615328656328181,0.00114706151395323,1.00086415633371,6000
"beta[14]",0.00061998848695963,0.000255997227980926,0.00014465180121319,0.00044006055048849,0.000612231983057307,0.000789365555985004,0.00113317243191161,1.00149075109165,2700
"beta[15]",0.000367299387950365,9.01920087172874e-05,0.000195863708709987,0.000307358125384402,0.000365107557346267,0.000426157417878436,0.000550101016406943,1.00087310556784,6000
"coef[1,1]",-0.11679283577625,0.111768451867848,-0.391336268250846,-0.177298817169248,-0.0904468831882988,-0.0379857534298721,0.0408014871067069,1.00126343500538,3900
"coef[2,1]",-0.0119628124692577,0.070048440289801,-0.141317931634442,-0.0572876047482745,-0.0157485380872664,0.027771816536814,0.142418689899251,1.00088003261663,6000
"coef[3,1]",-0.0142530336785016,0.069735163256876,-0.147712392883031,-0.0585081971873231,-0.0181551644419977,0.0258929965899879,0.140645455717505,1.00076131862886,6000
"coef[4,1]",-0.0458664987766818,0.0707213522615602,-0.194089245746396,-0.0865741538830312,-0.0438813869141443,-0.00223340509795532,0.0942569700430765,1.00102019948753,6000
"coef[5,1]",0.0129163065895312,0.0889744102021515,-0.130928199645523,-0.0460986669243332,-0.000842976062218618,0.0614776614352668,0.219750184468073,1.00104429265376,6000
"coef[6,1]",-0.0105204395735605,0.103108589561875,-0.187295485679035,-0.0703597222915628,-0.0207648759774864,0.0348865091085344,0.241377422276611,1.0008345310503,6000
"coef[7,1]",-0.00825917514498459,0.0707460126478246,-0.133850680617762,-0.05493005992643,-0.0141287057106191,0.033779447558223,0.147657419594814,1.00083531367629,6000
"coef[8,1]",-0.0936625227346841,0.0827616980021523,-0.27805685546469,-0.143643370982391,-0.0812371426133762,-0.0349903958572516,0.0378559728435727,1.00127143809256,3800
"coef[9,1]",-0.0134272084865857,0.0670280092200201,-0.140250739120881,-0.0573243628313087,-0.0175088462360853,0.027257217332056,0.126286314684294,1.00078680143168,6000
"coef[10,1]",-0.0172010182784275,0.0682927190885063,-0.147975822719639,-0.0608561813507849,-0.020027055726312,0.0229529503543473,0.130567597872938,1.00153364707226,2600
"coef[11,1]",-0.0581080867510915,0.0757141172626166,-0.222789850944181,-0.100162829738781,-0.0523572795658163,-0.0104466534336111,0.0825453895781489,1.00077137539611,6000
"coef[12,1]",-0.00223645338882457,0.0839510106377955,-0.146865999212274,-0.055145648229591,-0.0120938727652251,0.0422668146171302,0.192429259807278,1.00111548977826,5500
"coef[13,1]",-0.0511202317976088,0.0731693347182644,-0.207680588207836,-0.0952010881865778,-0.0492443834363937,-0.00558446198666637,0.0955703868979878,1.0010906010724,5800
