"","Site","Year","Max.temp"
"139","Alexander",1986,16.8943747637203
"140","Anchor",1986,12.8556362106543
"141","Beaver",1986,12.0006879288618
"142","Chuitna",1986,14.7205199078099
"143","Crooked",1986,11.1729328754867
"144","Deep",1986,13.1345903973534
"145","Deshka",1986,17.2906769405774
"146","EF Chulitna",1986,9.18043608635458
"147","Funny",1986,10.014432065952
"148","Hidden",1986,13.5299235322981
"149","Kenai R at Cooper Landing",1986,9.05033358668417
"150","Kenai R at Skilak",1986,11.3218780357279
"151","Kenai R at Soldotna",1986,11.257291142334
"152","Little Willow",1986,12.8925349613977
"153","Montana",1986,12.8319464513691
"154","Moose",1986,12.85532758674
"155","NF Campbell",1986,12.5119059018477
"156","Ninilchik",1986,12.7425867155263
"157","Quartz",1986,8.21063718441753
"158","Slikok",1986,10.5281503156242
"159","Soldotna",1986,12.027534240862
"160","Theodore",1986,13.1327194426376
"161","Willow",1986,12.4199144463591
"162","Alexander",1987,18.2570189846864
"163","Anchor",1987,14.6047207461028
"164","Beaver",1987,13.7001784268701
"165","Chuitna",1987,15.9869561781172
"166","Crooked",1987,12.8963951016524
"167","Deep",1987,15.132428066021
"168","Deshka",1987,18.7054800747908
"169","EF Chulitna",1987,9.96975956322463
"170","Funny",1987,11.6722122124465
"171","Hidden",1987,14.9637255957847
"172","Kenai R at Cooper Landing",1987,10.2278711787478
"173","Kenai R at Skilak",1987,12.7986192421713
"174","Kenai R at Soldotna",1987,12.5590553434006
"175","Little Willow",1987,13.9175344827207
"176","Montana",1987,13.7863793404495
"177","Moose",1987,14.8913688023489
"178","NF Campbell",1987,13.1593972988984
"179","Ninilchik",1987,14.4956879030824
"180","Quartz",1987,9.11150617292217
"181","Slikok",1987,12.0132047008485
"182","Soldotna",1987,13.7627453660447
"183","Theodore",1987,14.112716629012
"184","Willow",1987,13.3266169231867
"185","Alexander",1988,18.3738170607693
"186","Anchor",1988,14.0879457697203
"187","Beaver",1988,12.9626636824514
"188","Chuitna",1988,16.0955078584293
"189","Crooked",1988,12.1484775318069
"190","Deep",1988,14.5421578457328
"191","Deshka",1988,18.8267489148663
"192","EF Chulitna",1988,10.0374158612421
"193","Funny",1988,10.9527981866092
"194","Hidden",1988,14.3415096059698
"195","Kenai R at Cooper Landing",1988,9.71686429917302
