,Site,Year,maxTemp,wksGT15,wksGT21,wksGT13
153,Cache,1984,11.1280465,0,0,0
154,Cache,1985,11.42917141,0,0,0
155,Cache,1986,11.26492146,0,0,0
156,Cache,1987,12.22304619,0,0,0
157,Cache,1988,12.30517117,0,0,0
158,Cache,1989,12.14092122,0,0,0
159,Cache,1990,13.23592091,0,0,1
160,Cache,1991,12.49679612,0,0,0
161,Cache,1992,11.81242131,0,0,0
162,Cache,1993,12.71579606,0,0,0
163,Cache,1994,12.25042119,0,0,0
164,Cache,1995,11.56604638,0,0,0
165,Cache,1996,12.44204613,0,0,0
166,Cache,1997,13.94767071,0,0,2
167,Cache,1998,11.94929627,0,0,0
168,Cache,1999,13.15379593,0,0,1
169,Cache,2000,11.81242131,0,0,0
170,Cache,2001,12.30517117,0,0,0
171,Cache,2002,13.59179581,0,0,1
172,Cache,2003,14.3309206,0,0,3
173,Cache,2004,13.59179581,0,0,2
174,Cache,2005,12.66104607,0,0,0
175,Cache,2006,11.23754647,0,0,0
176,Cache,2007,11.81242131,0,0,0
177,Cache,2008,10.63529664,0,0,0
178,Cache,2009,13.50967083,0,0,1
179,Cache,2010,11.4839214,0,0,0
180,Cache,2011,11.10067151,0,0,0
181,Cache,2012,12.00404625,0,0,0
182,Cache,2013,13.6465458,0,0,1
183,Cache,2014,12.44204613,0,0,0
184,Cache,2015,12.38729615,0,0,0
185,Cache,2016,13.07167096,0,0,1
186,Chijuk,1980,16.96856707,2,0,6
187,Chijuk,1981,15.08721992,0,0,7
188,Chijuk,1982,14.73446733,0,0,8
189,Chijuk,1983,16.49823029,3,0,5
190,Chijuk,1984,15.94950403,3,0,7
191,Chijuk,1985,16.38064609,2,0,5
192,Chijuk,1986,16.14547769,4,0,4
193,Chijuk,1987,17.51729333,1,0,8
194,Chijuk,1988,17.63487753,4,0,7
195,Chijuk,1989,17.39970913,4,0,8
196,Chijuk,1990,18.96749843,7,0,8
197,Chijuk,1991,17.90924065,3,0,7
198,Chijuk,1992,16.92937234,2,0,6
199,Chijuk,1993,18.22279851,5,0,6
200,Chijuk,1994,17.55648806,5,0,7
201,Chijuk,1995,16.57661975,3,0,9
202,Chijuk,1996,17.83085119,3,0,5
203,Chijuk,1997,19.98656147,7,0,8
204,Chijuk,1998,17.125346,1,0,5
205,Chijuk,1999,18.84991423,4,0,7
206,Chijuk,2000,16.92937234,3,0,7
207,Chijuk,2001,17.63487753,4,0,8
208,Chijuk,2002,19.47702995,6,0,8
209,Chijuk,2003,20.53528772,8,0,9
210,Chijuk,2004,19.47702995,10,0,8
211,Chijuk,2005,18.14440905,8,0,7
212,Chijuk,2006,16.10628296,3,0,6
213,Chijuk,2007,16.92937234,5,0,8
214,Chijuk,2008,15.24399885,0,0,6
215,Chijuk,2009,19.35944575,4,0,8
216,Chijuk,2010,16.45903555,1,0,7
217,Chijuk,2011,15.9103093,2,0,7
218,Chijuk,2012,17.20373547,1,0,5
219,Chijuk,2013,19.55541941,7,0,7
220,Chijuk,2014,17.83085119,1,0,7
221,Chijuk,2015,17.75246172,5,0,7
222,Chijuk,2016,18.73233003,7,0,9
223,Chuitna,1980,14.7084045,0,0,4
224,Chuitna,1981,14.54255208,0,0,4
225,Chuitna,1982,13.1328065,0,0,2
226,Chuitna,1983,15.41327729,0,0,6
227,Chuitna,1984,16.32546561,2,0,7
228,Chuitna,1985,14.95718313,0,0,5
229,Chuitna,1986,15.20596177,0,0,4
230,Chuitna,1987,16.07668698,1,0,5
231,Chuitna,1988,15.33035108,0,0,7
232,Chuitna,1989,15.91083456,2,0,7
233,Chuitna,1990,15.4962035,0,0,7
234,Chuitna,1991,15.4547404,0,0,4
235,Chuitna,1992,15.08157245,0,0,6
236,Chuitna,1993,17.23765393,4,0,7
237,Chuitna,1994,16.03522387,2,0,8
238,Chuitna,1995,15.41327729,0,0,8
239,Chuitna,1996,16.28400251,2,0,7
240,Chuitna,1997,16.86448598,3,0,7
241,Chuitna,1998,15.16449866,0,0,3
242,Chuitna,1999,16.53278114,1,0,5
243,Chuitna,2000,14.95718313,0,0,4
244,Chuitna,2001,15.62059282,1,0,6
245,Chuitna,2002,16.36692872,2,0,5
246,Chuitna,2003,18.14984225,4,0,6
247,Chuitna,2004,17.85960051,6,0,8
248,Chuitna,2005,17.15472772,4,0,7
249,Chuitna,2006,15.28888798,0,0,5
250,Chuitna,2007,15.08157245,0,0,7
251,Chuitna,2008,13.71328997,0,0,2
252,Chuitna,2009,15.66205593,1,0,6
253,Chuitna,2010,14.45962587,0,0,5
254,Chuitna,2011,14.54255208,0,0,6
255,Chuitna,2012,15.20596177,0,0,4
256,Chuitna,2013,18.14984225,5,0,7
257,Chuitna,2014,16.57424425,1,0,8
258,Chuitna,2015,17.90106362,9,0,8
259,Chuitna,2016,18.5230102,6,0,9
260,Crooked,1980,12.29035805,0,0,0
261,Crooked,1981,12.42274838,0,0,0
262,Crooked,1982,11.09884508,0,0,0
263,Crooked,1983,13.97833476,0,0,3
264,Crooked,1984,12.78682179,0,0,0
265,Crooked,1985,11.92628464,0,0,0
266,Crooked,1986,11.26433299,0,0,0
267,Crooked,1987,13.01850487,0,0,1
268,Crooked,1988,12.25726047,0,0,0
269,Crooked,1989,12.58823629,0,0,0
270,Crooked,1990,12.1910653,0,0,0
271,Crooked,1991,11.66150398,0,0,0
272,Crooked,1992,12.1910653,0,0,0
273,Crooked,1993,13.77974926,0,0,2
274,Crooked,1994,12.98540728,0,0,0
275,Crooked,1995,12.35655322,0,0,0
276,Crooked,1996,12.02557739,0,0,0
277,Crooked,1997,13.94523718,0,0,4
278,Crooked,1998,12.09177256,0,0,0
279,Crooked,1999,13.28328553,0,0,1
280,Crooked,2000,11.8269919,0,0,0
281,Crooked,2001,12.65443146,0,0,0
282,Crooked,2002,12.3896508,0,0,0
283,Crooked,2003,13.74665168,0,0,4
284,Crooked,2004,14.37550575,0,0,6
285,Crooked,2005,13.34948069,0,0,2
286,Crooked,2006,13.21709036,0,0,1
287,Crooked,2007,12.9523097,0,0,0
288,Crooked,2008,12.52204113,0,0,0
289,Crooked,2009,13.01850487,0,0,1
290,Crooked,2010,13.48187102,0,0,2
291,Crooked,2011,11.66150398,0,0,0
292,Crooked,2012,11.56221124,0,0,0
293,Crooked,2013,13.34948069,0,0,1
294,Crooked,2014,13.61426135,0,0,1
295,Crooked,2015,13.87904201,0,0,1
296,Crooked,2016,14.11072509,0,0,5
297,Deception,1980,13.67105163,0,0,2
298,Deception,1981,12.1374212,0,0,0
299,Deception,1982,11.8498655,0,0,0
300,Deception,1983,13.28764403,0,0,0
301,Deception,1984,12.84033515,0,0,0
302,Deception,1985,13.19179212,0,0,1
303,Deception,1986,13.00008832,0,0,0
304,Deception,1987,14.11836051,0,0,1
305,Deception,1988,14.21421241,0,0,3
306,Deception,1989,14.02250861,0,0,2
307,Deception,1990,15.30053397,0,0,3
308,Deception,1991,14.43786685,0,0,0
309,Deception,1992,13.639101,0,0,1
310,Deception,1993,14.69347192,0,0,4
311,Deception,1994,14.15031114,0,0,2
312,Deception,1995,13.35154529,0,0,2
313,Deception,1996,14.37396558,0,0,2
314,Deception,1997,16.13125045,2,0,3
315,Deception,1998,13.79885417,0,0,0
316,Deception,1999,15.20468207,0,0,3
317,Deception,2000,13.639101,0,0,0
318,Deception,2001,14.21421241,0,0,1
319,Deception,2002,15.71589221,1,0,3
320,Deception,2003,16.57855933,1,0,5
321,Deception,2004,15.71589221,1,0,8
322,Deception,2005,14.62957065,0,0,6
323,Deception,2006,12.96813769,0,0,0
324,Deception,2007,13.639101,0,0,3
325,Deception,2008,12.26522374,0,0,0
326,Deception,2009,15.62004031,1,0,3
327,Deception,2010,13.25569339,0,0,1
328,Deception,2011,12.80838452,0,0,0
329,Deception,2012,13.86275544,0,0,0
330,Deception,2013,15.77979348,1,0,4
331,Deception,2014,14.37396558,0,0,1
332,Deception,2015,14.31006431,0,0,3
333,Deception,2016,15.10883016,0,0,4
334,Deep,1980,13.13137447,0,0,1
335,Deep,1981,14.34686225,0,0,3
336,Deep,1982,13.40148287,0,0,1
337,Deep,1983,14.25682612,0,0,4
338,Deep,1984,14.88707904,0,0,6
339,Deep,1985,13.44650093,0,0,1
340,Deep,1986,13.13137447,0,0,2
341,Deep,1987,15.11216937,0,0,5
342,Deep,1988,14.52693451,0,0,4
343,Deep,1989,16.55274748,1,0,7
344,Deep,1990,14.21180805,0,0,5
345,Deep,1991,13.17639254,0,0,2
346,Deep,1992,13.85166353,0,0,6
347,Deep,1993,15.78744036,1,0,6
348,Deep,1994,15.51733196,0,0,5
349,Deep,1995,14.03173579,0,0,3
350,Deep,1996,14.39188032,0,0,2
351,Deep,1997,15.4723139,0,0,7
352,Deep,1998,14.07675386,0,0,2
353,Deep,1999,14.70700678,0,0,2
354,Deep,2000,14.12177192,0,0,2
355,Deep,2001,14.57195258,0,0,5
356,Deep,2002,14.03173579,0,0,3
357,Deep,2003,16.23762102,2,0,6
358,Deep,2004,16.64278361,2,0,8
359,Deep,2005,15.51733196,0,0,8
360,Deep,2006,13.2214106,0,0,2
361,Deep,2007,13.85166353,0,0,3
362,Deep,2008,12.81624801,0,0,0
363,Deep,2009,13.85166353,0,0,3
364,Deep,2010,13.17639254,0,0,1
365,Deep,2011,14.25682612,0,0,1
366,Deep,2012,12.50112155,0,0,0
367,Deep,2013,16.50772941,3,0,8
368,Deep,2014,16.05754875,2,0,11
369,Deep,2015,16.73281974,1,0,7
370,Deep,2016,15.38227776,0,0,9
371,Deshka,1980,18.11013597,2,0,6
372,Deshka,1981,16.17745772,2,0,8
373,Deshka,1982,15.81508055,3,0,8
374,Deshka,1983,17.62696641,7,0,6
375,Deshka,1984,17.06326859,6,0,7
376,Deshka,1985,17.50617402,6,0,6
377,Deshka,1986,17.26458924,5,0,5
378,Deshka,1987,18.67383379,2,0,8
379,Deshka,1988,18.79462618,7,0,8
380,Deshka,1989,18.5530414,8,0,9
381,Deshka,1990,20.16360661,9,0,8
382,Deshka,1991,19.07647509,4,0,8
383,Deshka,1992,18.06987184,6,0,8
384,Deshka,1993,19.39858813,8,0,8
385,Deshka,1994,18.71409792,7,0,7
386,Deshka,1995,17.70749467,5,0,10
387,Deshka,1996,18.99594683,5,0,8
388,Deshka,1997,21.21047399,9,1,11
389,Deshka,1998,18.27119249,4,0,6
390,Deshka,1999,20.04281422,6,0,7
391,Deshka,2000,18.06987184,3,0,7
392,Deshka,2001,18.79462618,9,0,9
393,Deshka,2002,20.6870403,9,0,10
394,Deshka,2003,21.77417181,12,1,10
395,Deshka,2004,20.6870403,12,0,9
396,Deshka,2005,19.31805987,11,0,8
397,Deshka,2006,17.22432511,7,0,8
398,Deshka,2007,18.06987184,5,0,10
399,Deshka,2008,16.33851424,2,0,10
400,Deshka,2009,20.56624791,5,0,10
401,Deshka,2010,17.58670228,3,0,9
402,Deshka,2011,17.02300446,3,0,7
403,Deshka,2012,18.35172075,4,0,7
404,Deshka,2013,20.76756856,9,0,8
405,Deshka,2014,18.99594683,6,0,9
406,Deshka,2015,18.91541857,9,0,8
407,Deshka,2016,19.92202182,12,0,10
408,EF Chulitna,1980,9.664798864,0,0,0
409,EF Chulitna,1981,8.58797068,0,0,0
410,EF Chulitna,1982,8.386065396,0,0,0
411,EF Chulitna,1983,9.395591818,0,0,0
412,EF Chulitna,1984,9.081516931,0,0,0
413,EF Chulitna,1985,9.328290057,0,0,0
414,EF Chulitna,1986,9.193686534,0,0,0
415,EF Chulitna,1987,9.978873751,0,0,0
416,EF Chulitna,1988,10.04617551,0,0,0
417,EF Chulitna,1989,9.91157199,0,0,0
418,EF Chulitna,1990,10.80892881,0,0,0
419,EF Chulitna,1991,10.20321296,0,0,0
420,EF Chulitna,1992,9.642364944,0,0,0
421,EF Chulitna,1993,10.38268432,0,0,0
422,EF Chulitna,1994,10.00130767,0,0,0
423,EF Chulitna,1995,9.440459659,0,0,0
424,EF Chulitna,1996,10.15834512,0,0,0
425,EF Chulitna,1997,11.39221074,0,0,0
426,EF Chulitna,1998,9.754534546,0,0,0
427,EF Chulitna,1999,10.74162705,0,0,0
428,EF Chulitna,2000,9.642364944,0,0,0
429,EF Chulitna,2001,10.04617551,0,0,0
430,EF Chulitna,2002,11.10056978,0,0,0
431,EF Chulitna,2003,11.70628563,0,0,0
432,EF Chulitna,2004,11.10056978,0,0,0
