Population,BroodYear,EscapeIndex,EscapementMethod,WeirRemovals,Spawners1,Spawners2.min,Spawners2.nom,Spawners2.max,Recruits1,Recruits2.min,Recruits2.nom,Recruits2.max,NumAgeClasses,CoreRecruits1,CoreRecruits2.min,CoreRecruits2.nom,CoreRecruits2.max,NumCoreAgeClasses,RecruitsPerSpawner,CoreRecruitsPerSpawner
Chuitna,2006,1911,Single aerial survey,NA,1911,3185,4247,6370,715,1208,1605,2400,5,636,1060,1413,2119,3,0.3779138215210737,0.33270543913350603
Chuitna,2007,1180,Single aerial survey,NA,1180,1967,2622,3933,726,1210,1613,2419,5,670,1117,1490,2234,3,0.6151792524790236,0.5682684973302822
Chuitna,2008,586,Single aerial survey,NA,586,977,1302,1953,1141,1902,2536,3802,5,1123,1871,2495,3742,3,1.9477726574500769,1.9162826420890937
Chuitna,2009,1040,Single aerial survey,NA,1040,1733,2311,3467,NA,NA,NA,NA,NA,1440,2400,3200,4800,3,NA,1.3846819558632626
Chuitna,2010,735,Single aerial survey,NA,735,1225,1633,2450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chuitna,2011,719,Single aerial survey,NA,719,1198,1598,2397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chuitna,2012,502,Single aerial survey,NA,502,837,1116,1673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chuitna,2013,1690,Single aerial survey,NA,1690,2817,3756,5633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chuitna,2014,1398,Single aerial survey,NA,1398,2330,3107,4660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chuitna,2015,1965,Single aerial survey,NA,1965,3275,4367,6550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chulitna,1982,863,Single aerial survey,NA,863,1438,1918,2877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chulitna,1983,4058,Single aerial survey,NA,4058,6763,9018,13527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chulitna,1984,4191,Single aerial survey,NA,4191,6985,9313,13970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chulitna,1985,783,Single aerial survey,NA,783,1305,1740,2610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chulitna,1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3108,5180,6906,10359,3,NA,NA
Chulitna,1987,5252,Single aerial survey,NA,5252,8753,11671,17507,2753,4588,6118,9177,5,2685,4476,5968,8952,3,0.5242052951760775,0.5113529260560363
Chulitna,1988,NA,NA,NA,NA,NA,NA,NA,2185,3641,4854,7282,5,2005,3342,4456,6684,3,NA,NA
Chulitna,1989,NA,NA,NA,NA,NA,NA,NA,2362,3936,5248,7872,5,2213,3689,4919,7378,3,NA,NA
Chulitna,1990,2681,Single aerial survey,NA,2681,4468,5958,8937,2601,4335,5781,8671,5,2547,4245,5661,8491,3,0.9702920443101712,0.9501510574018127
Chulitna,1991,4410,Single aerial survey,NA,4410,7350,9800,14700,4214,7024,9365,14048,5,4163,6939,9252,13878,3,0.9556122448979592,0.9440816326530612
Chulitna,1992,2527,Single aerial survey,NA,2527,4212,5616,8423,5142,8569,11426,17139,5,5021,8367,11157,16736,3,2.0345441595441596,1.9866452991452992
Chulitna,1993,2070,Single aerial survey,NA,2070,3450,4600,6900,3343,5571,7428,11142,5,3255,5426,7234,10851,3,1.6147826086956523,1.5726086956521739
Chulitna,1994,1806,Single aerial survey,NA,1806,3010,4013,6020,4232,7054,9405,14107,5,4095,6826,9101,13651,3,2.343633192125592,2.2678793919760776
Chulitna,1995,3460,Single aerial survey,NA,3460,5767,7689,11533,4829,8049,10732,16098,5,4676,7794,10392,15588,3,1.3957601768760568,1.351541162699961
Chulitna,1996,4172,Single aerial survey,NA,4172,6953,9271,13907,NA,NA,NA,NA,NA,3563,5938,7917,11875,3,NA,0.8539531873584295
Chulitna,1997,5618,Single aerial survey,NA,5618,9363,12484,18727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chulitna,1998,2586,Single aerial survey,NA,2586,4310,5747,8620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chulitna,1999,5455,Single aerial survey,NA,5455,9092,12122,18183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chulitna,2e3,4218,Single aerial survey,NA,4218,7030,9373,14060,NA,NA,NA,NA,NA,2549,4249,5665,8497,3,NA,0.6043956043956044
Chulitna,2001,2353,Single aerial survey,NA,2353,3922,5229,7843,3272,5454,7272,10907,5,3178,5297,7063,10594,3,1.3907056798623063,1.3507362784471217
Chulitna,2002,9002,Single aerial survey,NA,9002,15003,20004,30007,4019,6698,8931,13396,5,3932,6553,8737,13106,3,0.44646070785842834,0.4367626474705059
Chulitna,2003,NA,NA,NA,NA,NA,NA,NA,2875,4792,6389,9584,5,2723,4538,6050,9075,3,NA,NA
Chulitna,2004,2162,Single aerial survey,NA,2162,3603,4804,7207,1309,2182,2910,4365,5,1196,1993,2657,3986,3,0.6057452123230641,0.5530807660283097
Chulitna,2005,2838,Single aerial survey,NA,2838,4730,6307,9460,1946,3242,4324,6485,5,1860,3099,4133,6200,3,0.6855874425241795,0.6553036308863168
Chulitna,2006,2862,Single aerial survey,NA,2862,4770,6360,9540,1433,2388,3184,4775,5,1280,2133,2844,4266,3,0.5006289308176101,0.44716981132075473
Chulitna,2007,5166,Single aerial survey,NA,5166,8610,11480,17220,1102,1837,2449,3673,5,1031,1719,2292,3438,3,0.2133275261324042,0.19965156794425087
Chulitna,2008,2514,Single aerial survey,NA,2514,4190,5587,8380,991,1651,2201,3302,5,947,1578,2103,3155,3,0.39395024163236086,0.3764095221048863
Chulitna,2009,2093,Single aerial survey,NA,2093,3488,4651,6977,NA,NA,NA,NA,NA,1262,2104,2805,4208,3,NA,0.6030961083637927
Chulitna,2010,1052,Single aerial survey,NA,1052,1753,2338,3507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chulitna,2011,1875,Single aerial survey,NA,1875,3125,4167,6250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
