"","names.covars","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"mu.coef[1]","wksGT13_spawn","-0.0449822876345352","0.0437320227505607","-0.132751553711583","-0.0726879724961377","-0.0447042678862829","-0.0167904405333697","0.0410566422994859","1.00132164965038","4700"
"mu.coef[2]","wksGT15_grow","-0.0586910859714108","0.0479629504664577","-0.15466335440923","-0.0892004592146065","-0.058212235331769","-0.0281240960631281","0.034040269342403","1.00105223943348","13000"
"mu.coef[3]","maxP_spawn","-0.112824193150449","0.0410452296182395","-0.193402808999069","-0.140095463357672","-0.113069495663366","-0.085457816727043","-0.0318397660485403","1.00105181681103","13000"
"mu.coef[4]","avgP_grow","0.0644605436030738","0.0301397825233432","0.00483817943288078","0.0443927476689547","0.0645566515070439","0.084177354638367","0.124665798725155","1.00097466221209","15000"
"mu.coef[5]","medianQ_grow","-0.0677820309401155","0.0370303626047866","-0.142227612538364","-0.0922821983332207","-0.0676922765498827","-0.0425321238683258","0.0032363327319411","1.00099889004426","15000"
"mu.coef[6]","RB_spawn","-0.02501134429633","0.0334204507127829","-0.0891628900426527","-0.0476016480261677","-0.0255095955845193","-0.00320815236211692","0.0424975492534234","1.00093297625256","15000"
"mu.coef[7]","RB_emerge","-0.0385142961542915","0.0357903604240102","-0.107665488919917","-0.0627365922228256","-0.0388389028835667","-0.0148352860838682","0.0326724871477404","1.00095589992143","15000"
"mu.coef[8]","breakup","-0.0179708735049854","0.0321039966472255","-0.079563166521287","-0.0393544378566189","-0.0184799749936582","0.0029147229342565","0.0465449024645041","1.00120312820047","6600"
"mu.coef[9]","NPGO","-0.0698769575848441","0.0488973133663595","-0.167732639275935","-0.101265341741792","-0.0694735262974906","-0.0378309055204925","0.0258508575552412","1.00137998701828","4200"
